t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
4.8,0.279381,-0.174583,0.826428,-0.0120656,-0.0101304,0.153593,1.13699,1.37635,3.73744,-0.0193648,-0.00164366,2.29304,7.72077,-0.000741843,-0.000454642,-0.00014342,0.0034,0.0034,0.006,1.45794,1.36909,3.60537,2.29336
4.9,0.275112,-0.159368,0.922685,0.0242106,0.0101463,0.16027,1.12978,1.40693,3.8252,-0.0187834,-0.00133923,2.30873,7.51729,0.00160341,0.00089587,0.000320479,0.0034,0.0034,0.006,1.43573,1.3913,3.64482,2.30907
5,0.271132,-0.144283,1.01938,0.0193851,0.0071949,0.158527,1.12118,1.43605,3.92255,-0.0166154,-0.000190718,2.32466,7.51729,-0.000212761,-0.000131783,-8.36746e-05,0.0034,0.0034,0.006,1.41352,1.41352,3.68427,2.32478
5.1,0.268757,-0.131696,1.11574,0.00414372,-8.03601e-05,0.156797,1.11129,1.46392,4.02952,-0.0154363,0.00041582,2.34041,7.51729,-0.000673452,-0.000322277,-8.30226e-05,0.0034,0.0034,0.006,1.3913,1.43573,3.72371,2.34049
5.2,0.267631,-0.121108,1.21169,-0.0110877,-0.00737637,0.155067,1.10017,1.49066,4.14608,-0.0157772,0.000284562,2.35601,7.51729,-0.000673452,-0.000322277,-8.30226e-05,0.0034,0.0034,0.006,1.36909,1.45794,3.76316,2.35619
5.3,0.26618,-0.109259,1.26673,0.0192174,0.0054755,0.158914,1.08785,1.51625,4.27016,-0.0153665,0.000437602,2.37171,7.23054,0.00133943,0.00056781,0.000184619,0.0034,0.0034,0.006,1.34553,1.47871,3.85143,2.3719
5.4,0.264734,-0.0970263,1.32203,0.0155792,0.00380481,0.157873,1.07439,1.54073,4.39973,-0.0136141,0.00113067,2.38754,7.23054,-0.000160528,-7.48962e-05,-4.99602e-05,0.0034,0.0034,0.006,1.32197,1.49948,3.9397,2.38761
5.5,0.264395,-0.0871412,1.37714,0.00325675,-0.000512854,0.156912,1.05988,1.56426,4.5348,-0.012651,0.00150048,2.40328,7.23054,-0.000544552,-0.000191407,-4.61237e-05,0.0034,0.0034,0.006,1.29841,1.52025,4.02796,2.40332
5.6,0.264947,-0.0792535,1.43202,-0.00905982,-0.00484723,0.155951,1.04437,1.58692,4.67535,-0.0129177,0.00143101,2.41892,7.23054,-0.000544552,-0.000191407,-4.61237e-05,0.0034,0.0034,0.006,1.27485,1.54103,4.11623,2.41903
5.7,0.265359,-0.0703377,1.43561,0.0139502,0.00184259,0.158127,1.02789,1.6087,4.81882,-0.0126511,0.0014843,2.43463,6.87207,0.00101695,0.000295544,0.00010445,0.0034,0.0034,0.006,1.25003,1.56028,4.23937,2.43473
