t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
5.9,0.277618,-0.0769544,1.44319,0.000436024,-0.00147307,0.15709,0.983711,1.61979,5.10657,-0.0116659,0.00152207,2.46614,6.87206,-0.000108227,-3.4659e-07,-9.66419e-06,0.0034,0.0034,0.006,1.20039,1.59878,4.48567,2.46615
6,0.278189,-0.0700208,1.44675,-0.00272933,-0.00149703,0.156929,0.965216,1.64157,5.25114,-0.0117564,0.00155735,2.48185,6.87206,-0.000108227,-3.4659e-07,-9.66419e-06,0.0034,0.0034,0.006,1.17557,1.61803,4.60882,2.48186
6.1,0.278911,-0.0624281,1.39546,0.0101703,-0.0016002,0.157147,0.945916,1.66256,5.39332,-0.0113597,0.00158439,2.49755,6.48907,0.00043795,-5.027e-06,1.31056e-05,0.0034,0.0034,0.006,1.14959,1.63569,4.74741,2.49757
6.2,0.279777,-0.0551867,1.34418,0.00254209,-0.00175545,0.157152,0.925866,1.6828,5.53036,-0.0106991,0.00158971,2.51327,6.48907,-0.000260042,-7.87571e-06,2.80886e-07,0.0034,0.0034,0.006,1.12361,1.65334,4.88599,2.51327
6.3,0.280731,-0.0490083,1.29287,0.000257461,-0.00145756,0.157079,0.905109,1.70231,5.66226,-0.0105341,0.0015958,2.52898,6.48907,-7.83326e-05,9.55622e-06,-4.35992e-06,0.0034,0.0034,0.006,1.09763,1.671,5.02458,2.52898
6.4,0.281755,-0.0431901,1.24155,-0.00203059,-0.00118714,0.157006,0.883666,1.72111,5.78902,-0.0105974,0.00162942,2.54468,6.48907,-7.83326e-05,9.55622e-06,-4.35992e-06,0.0034,0.0034,0.006,1.07165,1.68866,5.16317,2.54469
6.5,0.282951,-0.0369774,1.1413,0.00755359,-0.00268408,0.157115,0.861564,1.7392,5.9082,-0.0102958,0.00160024,2.56039,6.1476,0.000325068,-5.20231e-05,6.50156e-06,0.0034,0.0034,0.006,1.04462,1.70465,5.29532,2.5604
6.6,0.284198,-0.0311044,1.04105,0.0018387,-0.00192013,0.157095,0.838847,1.7566,6.01735,-0.00980167,0.00152773,2.5761,6.1476,-0.000195244,2.40557e-05,-1.21104e-06,0.0034,0.0034,0.006,1.01758,1.72063,5.42746,2.57611
6.7,0.285405,-0.0259367,0.940799,0.000166873,-0.00143788,0.157073,0.815552,1.77335,6.11646,-0.00967752,0.00151278,2.59181,6.1476,-5.75273e-05,1.59868e-05,-1.27635e-06,0.0034,0.0034,0.006,0.990544,1.73662,5.55961,2.59181
6.8,0.28664,-0.0209863,0.840556,-0.00151063,-0.000975741,0.157052,0.791697,1.78945,6.20555,-0.00972072,0.00154439,2.60752,6.1476,-5.75273e-05,1.59868e-05,-1.27635e-06,0.0034,0.0034,0.006,0.963507,1.75261,5.69176,2.60752
6.9,0.28802,-0.0158537,0.70626,0.00624723,-0.00344426,0.157096,0.767302,1.80489,6.2829,-0.0094601,0.00147427,2.62323,5.91009,0.000262862,-8.48958e-05,2.60382e-06,0.0034,0.0034,0.006,0.93552,1.76687,5.7966,2.62323
7,0.289358,-0.0110951,0.571946,0.00150876,-0.00202749,0.157062,0.742403,1.81969,6.34682,-0.00905018,0.00134592,2.63894,5.91009,-0.000162223,4.65858e-05,-2.04073e-06,0.0034,0.0034,0.006,0.907533,1.78113,5.90145,2.63894
7.1,0.290605,-0.00679019,0.437655,0.000162486,-0.00139891,0.15707,0.717032,1.83388,6.39731,-0.00894573,0.00131589,2.65464,5.91009,-4.64724e-05,2.10302e-05,5.32294e-07,0.0034,0.0034,0.006,0.879546,1.79539,6.00629,2.65465
7.2,0.291874,-0.00260268,0.303381,-0.00119124,-0.000786544,0.157079,0.691208,1.84745,6.43436,-0.00897627,0.00134734,2.67035,5.91009,-4.64724e-05,2.10302e-05,5.32294e-07,0.0034,0.0034,0.006,0.851559,1.80965,6.11114,2.67035
7.3,0.293217,0.00158465,0.156219,0.00599294,-0.00394735,0.157085,0.664943,1.8604,6.45734,-0.00871568,0.00124982,2.68606,5.8204,0.000243293,-0.000108447,3.17222e-07,0.0034,0.0034,0.006,0.822731,1.82213,6.17212,2.68606
7.4,0.294428,0.00532668,0.00903335,0.00147439,-0.00207753,0.157043,0.638264,1.87274,6.4656,-0.00832405,0.00108226,2.70177,5.8204,-0.000154859,6.20484e-05,-2.49084e-06,0.0034,0.0034,0.006,0.793904,1.8346,6.23311,2.70177
7.5,0.295565,0.00879539,-0.138115,0.000220637,-0.00132732,0.157069,0.611207,1.8845,6.45914,-0.00822264,0.00104192,2.71748,5.8204,-4.33222e-05,2.51607e-05,1.55679e-06,0.0034,0.0034,0.006,0.765076,1.84708,6.2941,2.71748
7.6,0.296743,0.0122217,-0.285242,-0.00104203,-0.000592226,0.157095,0.583788,1.89566,6.43797,-0.0082471,0.00107526,2.73319,5.8204,-4.33222e-05,2.51607e-05,1.55679e-06,0.0034,0.0034,0.006,0.736249,1.85955,6.35509,2.73319
7.7,0.297904,0.0154649,-0.421664,0.00624714,-0.00414497,0.157079,0.556013,1.90623,6.40261,-0.0079707,0.000966012,2.7489,5.89544,0.000246862,-0.000121855,-9.67584e-07,0.0034,0.0034,0.006,0.706695,1.87019,6.36259,2.74889
7.8,0.298858,0.0181741,-0.558115,0.00158144,-0.00204446,0.157035,0.527906,1.9162,6.35361,-0.00756562,0.000778406,2.7646,5.89544,-0.000159896,6.9818e-05,-2.61322e-06,0.0034,0.0034,0.006,0.677142,1.88083,6.37009,2.7646
7.9,0.299798,0.0207749,-0.69452,0.0002991,-0.00121997,0.157069,0.4995,1.92561,6.29097,-0.00745975,0.000733136,2.78031,5.89544,-4.42655e-05,2.76484e-05,2.00702e-06,0.0034,0.0034,0.006,0.647588,1.89147,6.3776,2.78031
8,0.300814,0.0234043,-0.830897,-0.000993047,-0.000410942,0.157102,0.470813,1.93444,6.21468,-0.00748267,0.000768914,2.79602,5.89544,-4.42655e-05,2.76484e-05,2.00702e-06,0.0034,0.0034,0.006,0.618034,1.90211,6.3851,2.79602
8.1,0.301735,0.0256882,-0.934667,0.00641151,-0.00399724,0.157076,0.441848,1.9427,6.12639,-0.00720038,0.000664063,2.81173,6.12339,0.000250852,-0.000123039,-1.55198e-06,0.0034,0.0034,0.006,0.58787,1.91088,6.33794,2.81173
8.2,0.302406,0.0273717,-1.03847,0.00166198,-0.00191367,0.157036,0.412623,1.95037,6.02772,-0.00678779,0.000478221,2.82744,6.12339,-0.000162689,6.91921e-05,-2.42358e-06,0.0034,0.0034,0.006,0.557707,1.91964,6.29077,2.82743
8.3,0.303127,0.0291029,-1.14222,0.000354946,-0.00108873,0.157069,0.383173,1.95749,5.91866,-0.0066798,0.000433819,2.84314,6.12339,-4.50516e-05,2.76359e-05,2.00625e-06,0.0034,0.0034,0.006,0.527543,1.9284,6.2436,2.84314
8.4,0.303955,0.0309257,-1.24594,-0.000961898,-0.000279543,0.157103,0.353513,1.96406,5.79924,-0.00670307,0.000470479,2.85885,6.12339,-4.50516e-05,2.76359e-05,2.00625e-06,0.0034,0.0034,0.006,0.49738,1.93717,6.19644,2.85885
8.5,0.304651,0.0323175,-1.30045,0.00611693,-0.0035589,0.157076,0.323645,1.97007,5.6719,-0.00643852,0.000381997,2.87456,6.46717,0.000239893,-0.000112549,-1.62487e-06,0.0034,0.0034,0.006,0.466725,1.94402,6.10205,2.87456
8.6,0.305096,0.0331052,-1.355,0.0016125,-0.0017043,0.157042,0.293587,1.97551,5.53911,-0.00604739,0.000216751,2.89027,6.46717,-0.000154223,6.14773e-05,-2.01074e-06,0.0034,0.0034,0.006,0.436071,1.95087,6.00766,2.89027
8.7,0.305628,0.0340454,-1.4095,0.000365551,-0.000955166,0.157071,0.263368,1.98041,5.40087,-0.00594541,0.000177918,2.90597,6.46717,-4.29388e-05,2.50664e-05,1.70775e-06,0.0034,0.0034,0.006,0.405417,1.95772,5.91327,2.90597
8.8,0.306272,0.0351113,-1.46397,-0.000890306,-0.000221062,0.157099,0.233004,1.98478,5.25718,-0.00596861,0.000212644,2.92168,6.46717,-4.29388e-05,2.50664e-05,1.70775e-06,0.0034,0.0034,0.006,0.374763,1.96457,5.81888,2.92168
8.9,0.306795,0.0357674,-1.46056,0.00532572,-0.00296432,0.157076,0.202497,1.98859,5.11093,-0.00574393,0.000145562,2.93739,6.8714,0.000210692,-9.41754e-05,-1.37955e-06,0.0034,0.0034,0.006,0.343739,1.96949,5.69217,2.93739
9,0.3071,0.0358906,-1.45719,0.00142193,-0.00146058,0.157051,0.171862,1.99186,4.96503,-0.00540536,1.17546e-05,2.9531,6.8714,-0.000133631,4.97486e-05,-1.51735e-06,0.0034,0.0034,0.006,0.312715,1.9744,5.56546,2.9531
9.1,0.307491,0.0361871,-1.45377,0.000333554,-0.000839452,0.157072,0.141124,1.9946,4.81946,-0.00531766,-1.90715e-05,2.96881,6.8714,-3.74738e-05,2.07598e-05,1.28813e-06,0.0034,0.0034,0.006,0.281691,1.97932,5.43876,2.96881
9.2,0.307976,0.0366025,-1.45033,-0.000762199,-0.000231436,0.157094,0.110298,1.99683,4.67424,-0.00533917,1.10517e-05,2.98451,6.8714,-3.74738e-05,2.07598e-05,1.28813e-06,0.0034,0.0034,0.006,0.250666,1.98423,5.31205,2.98451
9.3,0.308375,0.0367128,-1.38958,0.00421142,-0.00235584,0.157077,0.0793872,1.99852,4.53223,-0.00516683,-3.56414e-05,3.00022,7.27165,0.000168573,-7.29332e-05,-1.01127e-06,0.0034,0.0034,0.006,0.219395,1.98719,5.17302,3.00022
9.4,0.308612,0.036415,-1.32885,0.00113799,-0.00122757,0.157059,0.0484047,1.99968,4.39629,-0.00490074,-0.000135842,3.01593,7.27165,-0.000105227,3.72684e-05,-1.06393e-06,0.0034,0.0034,0.006,0.188124,1.99014,5.03399,3.01593
9.5,0.308906,0.0362403,-1.26809,0.000275294,-0.000753027,0.157074,0.0173713,2.00033,4.26643,-0.0048324,-0.00015846,3.03164,7.27165,-2.97356e-05,1.58456e-05,8.85776e-07,0.0034,0.0034,0.006,0.156852,1.9931,4.89497,3.03164
9.6,0.309262,0.0361468,-1.20731,-0.000593035,-0.000288882,0.157089,-0.0137015,2.00048,4.14264,-0.0048506,-0.000134531,3.04735,7.27165,-2.97356e-05,1.58456e-05,8.85776e-07,0.0034,0.0034,0.006,0.125581,1.99605,4.75594,3.04734
9.7,0.309573,0.035882,-1.09885,0.00298186,-0.00183054,0.157078,-0.044808,2.00011,4.02732,-0.00473347,-0.000165116,3.06305,7.60456,0.000121112,-5.29035e-05,-6.62998e-07,0.0034,0.0034,0.006,0.0941858,1.99704,4.62655,3.06305
9.8,0.309779,0.0353514,-0.990416,0.000818125,-0.00103464,0.157066,-0.0759366,1.99923,3.92284,-0.00454663,-0.00023556,3.07876,7.60456,-7.4151e-05,2.62843e-05,-7.08497e-07,0.0034,0.0034,0.006,0.0627905,1.99803,4.49716,3.07876
9.9,0.310008,0.0348673,-0.881956,0.000207291,-0.000698554,0.157075,-0.107071,1.99785,3.82921,-0.0044992,-0.000251196,3.09447,7.60456,-2.1122e-05,1.12174e-05,5.69609e-07,0.0034,0.0034,0.006,0.0313953,1.99901,4.36776,3.09447
10,0.310267,0.0344189,-0.773485,-0.000407536,-0.000369829,0.157085,-0.138202,1.99598,3.74642,-0.00451303,-0.000233852,3.11018,7.60456,-2.1122e-05,1.12174e-05,5.69609e-07,0.0034,0.0034,0.006,1.11022e-16,2,4.23837,3.11018
10.1,0.310511,0.0339109,-0.634494,0.00177836,-0.00142998,0.157078,-0.169322,1.99361,3.67601,-0.00444828,-0.000253392,3.12589,7.81768,7.39521e-05,-3.63247e-05,-4.0182e-07,0.0034,0.0034,0.006,-0.0313953,1.99901,4.13904,3.12588
