t,u,v,w,p,q,r,x,y,z,phi,theta,psi,U1,U2,U3,U4,Ix_hat,Iy_hat,Iz_hat,x_ref,y_ref,z_ref,psi_ref
5.6,0.269828,-0.0692198,1.43208,-0.0200753,-0.00876366,0.15472,1.08918,1.63288,4.67549,-0.0160867,0.000609624,2.41884,7.23009,-0.000854846,-0.000288497,-0.00010842,0.00441766,0.00442206,0.00479973,1.27485,1.54103,4.11623,2.41903
5.7,0.269509,-0.056479,1.43572,0.035627,0.00706048,0.158529,1.07138,1.65366,4.81896,-0.0153001,0.000776897,2.43451,6.87174,0.00246199,0.000698965,0.000182798,0.00441766,0.00442207,0.00479973,1.25003,1.56028,4.23937,2.43473
5.8,0.269198,-0.0434004,1.43956,0.0170704,0.00220536,0.158353,1.05256,1.67336,4.96278,-0.0126469,0.00145931,2.45034,6.87174,-0.000819923,-0.000216184,-8.4227e-06,0.00441766,0.00442207,0.00479973,1.22521,1.57953,4.36252,2.45044
5.9,0.270122,-0.0346468,1.44317,-0.00109978,-0.00171857,0.157014,1.03282,1.69218,5.10695,-0.0118232,0.00167441,2.46611,6.87174,-0.000803108,-0.000173919,-6.42606e-05,0.00441766,0.00442207,0.00479973,1.20039,1.59878,4.48567,2.46615
6,0.271751,-0.0284174,1.4466,-0.0192647,-0.00566715,0.155676,1.01222,1.71018,5.25147,-0.0128162,0.00149558,2.48175,6.87174,-0.000803108,-0.000173919,-6.42606e-05,0.00441766,0.00442207,0.00479973,1.17557,1.61803,4.60882,2.48186
6.1,0.273035,-0.0192753,1.39533,0.029496,0.00223913,0.157972,0.990761,1.72731,5.39359,-0.0122819,0.0015268,2.49743,6.48923,0.00215512,0.000349152,0.000110243,0.00441766,0.00442207,0.00479973,1.14959,1.63569,4.74741,2.49757
6.2,0.274308,-0.00975662,1.34415,0.0142094,0.000163074,0.157786,0.968509,1.74363,5.53057,-0.0100699,0.00182152,2.51322,6.48923,-0.000675594,-9.3074e-05,-8.96232e-06,0.00441767,0.00442207,0.00479973,1.12361,1.65334,4.88599,2.51327
6.3,0.276126,-0.00380328,1.29288,-0.00116287,-0.00132264,0.157032,0.945564,1.75928,5.66242,-0.00938794,0.00191485,2.52896,6.48923,-0.000679489,-6.60605e-05,-3.6167e-05,0.00441767,0.00442207,0.00479973,1.09763,1.671,5.02458,2.52898
6.4,0.278224,0.000243286,1.24156,-0.0165331,-0.00282917,0.156279,0.921965,1.7743,5.78914,-0.010243,0.00185919,2.54462,6.48923,-0.000679489,-6.60605e-05,-3.6167e-05,0.00441767,0.00442207,0.00479973,1.07165,1.68866,5.16317,2.54469
6.5,0.280323,0.00639539,1.14133,0.0226363,-0.00164513,0.157623,0.897712,1.78866,5.90827,-0.00990928,0.00179831,2.56032,6.14789,0.00173116,5.21521e-05,6.45101e-05,0.00441767,0.00442207,0.00479973,1.04462,1.70465,5.29532,2.5604
6.6,0.282407,0.0125933,1.0411,0.0109532,-0.00151596,0.157438,0.872852,1.80239,6.01738,-0.00820159,0.00178151,2.57607,6.14789,-0.000516486,4.7032e-06,-8.85581e-06,0.00441767,0.00442207,0.00479973,1.01758,1.72063,5.42746,2.57611
6.7,0.284506,0.0163281,0.940875,-0.00104104,-0.00104121,0.157043,0.847467,1.81558,6.11647,-0.00767805,0.00177706,2.5918,6.14789,-0.000530223,2.06869e-05,-1.89454e-05,0.00441767,0.00442207,0.00479973,0.990544,1.73662,5.55961,2.59181
6.8,0.286616,0.0189978,0.840684,-0.0130359,-0.000582687,0.156649,0.821591,1.82827,6.20553,-0.00835375,0.00182016,2.60748,6.14789,-0.000530223,2.06869e-05,-1.89454e-05,0.00441767,0.00442207,0.00479973,0.963507,1.75261,5.69176,2.60752
6.9,0.28889,0.0229129,0.706396,0.0162602,-0.00437429,0.157402,0.795216,1.84043,6.28286,-0.0081644,0.00170551,2.62319,5.91033,0.00129474,-0.000167685,3.61353e-05,0.00441767,0.00442207,0.00479973,0.93552,1.76687,5.7966,2.62323
7,0.291054,0.0264681,0.572044,0.0079013,-0.00270543,0.157236,0.768378,1.85206,6.34676,-0.00693152,0.00146927,2.63892,5.91033,-0.000369677,7.30411e-05,-7.95534e-06,0.00441767,0.00442207,0.00479973,0.907533,1.78113,5.90145,2.63894
7.1,0.292971,0.0286114,0.437757,-0.000822812,-0.000856182,0.157051,0.741144,1.86324,6.39723,-0.00655529,0.00139612,2.65464,5.91033,-0.000385712,8.1525e-05,-8.87897e-06,0.00441767,0.00442207,0.00479973,0.879546,1.79539,6.00629,2.65465
7.2,0.294843,0.0304187,0.303549,-0.00954942,0.000981271,0.156866,0.713542,1.87397,6.43428,-0.00705134,0.00150811,2.67033,5.91033,-0.000385712,8.1525e-05,-8.87897e-06,0.00441768,0.00442207,0.00479973,0.851559,1.80965,6.11114,2.67035
7.3,0.296857,0.032801,0.15639,0.0110747,-0.00588488,0.157266,0.685561,1.88424,6.45725,-0.0069516,0.00137537,2.68604,5.82055,0.000911442,-0.000303529,1.91911e-05,0.00441768,0.00442207,0.00479973,0.822731,1.82213,6.17212,2.68606
7.4,0.298582,0.034555,0.00913633,0.00540335,-0.00335928,0.157126,0.657226,1.89404,6.46551,-0.00610919,0.00101514,2.70176,5.82055,-0.000250952,0.000111139,-6.7098e-06,0.00441768,0.00442207,0.00479973,0.793904,1.8346,6.23311,2.70177
7.5,0.300044,0.0356631,-0.138025,-0.00057492,-0.000738324,0.157055,0.628594,1.90341,6.45904,-0.00585301,0.000903507,2.71747,5.82055,-0.000264362,0.000115702,-3.37931e-06,0.00441768,0.00442207,0.00479973,0.765076,1.84708,6.2941,2.71748
7.6,0.301567,0.0368835,-0.285087,-0.00655673,0.00187455,0.156985,0.599689,1.91237,6.43786,-0.00619454,0.00105419,2.73317,5.82055,-0.000264362,0.000115702,-3.37931e-06,0.00441768,0.00442207,0.00479973,0.736249,1.85955,6.35509,2.73319
7.7,0.303113,0.038266,-0.421504,0.0073668,-0.00624587,0.157186,0.570499,1.92088,6.40251,-0.00613745,0.00093415,2.74888,5.89552,0.00061529,-0.000358947,9.64582e-06,0.00441768,0.00442207,0.00479973,0.706695,1.87019,6.36259,2.74889
7.8,0.304186,0.0389449,-0.558025,0.00360473,-0.00349527,0.157073,0.541042,1.92895,6.35351,-0.00557761,0.000538681,2.7646,5.89552,-0.000166575,0.000121249,-5.4248e-06,0.00441768,0.00442207,0.00479973,0.677142,1.88083,6.37009,2.7646
7.9,0.30512,0.0394181,-0.694449,-0.000346225,-0.000660866,0.157059,0.511365,1.9366,6.29087,-0.00540752,0.000416672,2.78031,5.89552,-0.000174756,0.000125183,-6.84877e-07,0.00441768,0.00442207,0.00479973,0.647588,1.89147,6.3776,2.78031
8,0.306269,0.0401822,-0.830771,-0.004301,0.0021682,0.157044,0.481492,1.94383,6.21459,-0.00563241,0.000578259,2.79601,5.89552,-0.000174756,0.000125183,-6.84877e-07,0.00441768,0.00442207,0.00479973,0.618034,1.90211,6.3851,2.79602
8.1,0.307333,0.0409,-0.93453,0.00503709,-0.00570733,0.157141,0.451409,1.95062,6.1263,-0.00558627,0.000490539,2.81172,6.12343,0.000412638,-0.00034812,4.65458e-06,0.00441768,0.00442207,0.00479973,0.58787,1.91088,6.33794,2.81173
8.2,0.307822,0.0409723,-1.03839,0.00246631,-0.00321688,0.157054,0.42113,1.95696,6.02763,-0.00520652,0.000128796,2.82743,6.12343,-0.000113895,0.000109854,-4.20916e-06,0.00441768,0.00442207,0.00479973,0.557707,1.91964,6.29077,2.82743
8.3,0.308311,0.0410402,-1.14216,-0.000167967,-0.000608218,0.157062,0.390696,1.96287,5.91859,-0.00509076,1.809e-05,2.84314,6.12343,-0.000116549,0.000115234,3.88181e-07,0.00441768,0.00442207,0.00479973,0.527543,1.9284,6.2436,2.84314
8.4,0.309113,0.0414168,-1.24583,-0.00280576,0.00199688,0.15707,0.360128,1.96836,5.79917,-0.0052383,0.000168327,2.85885,6.12343,-0.000116549,0.000115234,3.88181e-07,0.00441768,0.00442207,0.00479973,0.49738,1.93717,6.19644,2.85885
8.5,0.309789,0.0416617,-1.30034,0.00371524,-0.00465766,0.157117,0.329414,1.97339,5.67184,-0.00518978,0.000117977,2.87456,6.46716,0.000288149,-0.000294158,2.25656e-06,0.00441768,0.00442207,0.00479973,0.466725,1.94402,6.10205,2.87456
8.6,0.309912,0.0413678,-1.35492,0.00181816,-0.00269673,0.157052,0.298566,1.97797,5.53906,-0.00491375,-0.000170615,2.89027,6.46716,-8.40704e-05,8.65079e-05,-3.1027e-06,0.00441768,0.00442207,0.00479973,0.436071,1.95087,6.00766,2.89027
8.7,0.310108,0.0411412,-1.40944,-5.14208e-05,-0.000574999,0.157065,0.267617,1.9821,5.40082,-0.00482903,-0.000257916,2.90597,6.46716,-8.27329e-05,9.37277e-05,6.19484e-07,0.00441768,0.00442207,0.00479973,0.405417,1.95772,5.91327,2.90597
